queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
       476,   1823129,        50,         0,   1823179,         0,      0.50,      0.50,      0.00
       477,   1823127,        47,         5,   1823179,       448,      0.50,      0.45,      0.06
       478,   1823127,        49,         3,   1823179,       320,      0.55,      0.50,      0.05
       479,   1823129,        50,         0,   1823179,         0,      0.53,      0.53,      0.00
       480,   1823032,        39,       108,   1823179,      6912,      1.35,      0.59,      0.76
       481,   1823128,        49,         2,   1823179,       128,      0.56,      0.53,      0.02
       482,   1823126,        47,         6,   1823179,       384,      0.58,      0.55,      0.03
       483,   1110812,        50,         0,   1823179,         0,      0.67,      0.67,      0.00
       484,   1823128,        46,         5,   1823179,       576,      0.59,      0.55,      0.04
       485,   1823120,        49,        10,   1823179,       640,      0.66,      0.56,      0.10
       486,   1823128,        49,         2,   1823179,       192,      0.56,      0.53,      0.04
       487,   1823072,        33,        74,   1823179,      4736,      1.19,      0.61,      0.58
       488,   1823128,        48,         3,   1823179,       768,      0.52,      0.47,      0.05
       489,   1823127,        34,        18,   1823179,      1152,      0.76,      0.60,      0.16
       490,   1823125,        46,         8,   1823179,       576,      0.66,      0.59,      0.07
       491,   1823129,        50,         0,   1823179,         0,      0.46,      0.46,      0.00
       492,   1823127,        44,         8,   1823179,       512,      0.64,      0.56,      0.08
       493,   1823128,        48,         3,   1823179,       192,      0.56,      0.53,      0.03
       494,   1823127,        43,         9,   1823179,       576,      0.61,      0.53,      0.08
       495,   1823126,        45,         8,   1823179,       640,      0.59,      0.50,      0.09
       496,   1823128,        49,         2,   1823179,       128,      0.57,      0.55,      0.02
       497,   1823124,        49,         6,   1823179,       768,      0.53,      0.48,      0.05
       498,   1823127,        47,         5,   1823179,       512,      0.60,      0.55,      0.05
       499,   1823127,        49,         3,   1823179,       192,      0.60,      0.56,      0.04
       500,   1823128,        49,         2,   1823179,       128,      0.54,      0.53,      0.01
       501,   1823127,        49,         3,   1823179,       320,      0.50,      0.46,      0.04
       502,   1823124,        46,         9,   1823179,       576,      0.64,      0.55,      0.09
       503,   1823128,        42,         9,   1823179,       640,      0.67,      0.58,      0.08
       504,   1823120,        46,        13,   1823179,       896,      0.65,      0.54,      0.11
       505,   1823117,        47,        15,   1823179,       960,      0.70,      0.57,      0.13
       506,   1823124,        49,         6,   1823179,       448,      0.63,      0.56,      0.06
       507,   1823129,        50,         0,   1823179,         0,      0.50,      0.50,      0.00
       508,   1823116,        49,        14,   1823179,       960,      0.68,      0.57,      0.11
       509,   1823129,        50,         0,   1823179,         0,      0.60,      0.60,      0.00
       510,   1823128,        44,         7,   1823179,       576,      0.62,      0.57,      0.04
       511,   1823125,        44,        10,   1823179,       768,      0.69,      0.59,      0.10
       512,   1823129,        50,         0,   1823179,         0,      0.44,      0.44,      0.00
       513,   1823129,        50,         0,   1823179,         0,      0.49,      0.49,      0.00
       514,   1823127,        49,         3,   1823179,       192,      0.50,      0.49,      0.01
       515,   1823129,        50,         0,   1823179,         0,      0.52,      0.52,      0.00
       516,   1823127,        47,         5,   1823179,       512,      0.50,      0.46,      0.04
       517,   1823118,        46,        15,   1823179,     13248,      0.54,      0.41,      0.13
       518,   1823128,        46,         5,   1823179,       384,      0.63,      0.59,      0.03
       519,   1823129,        50,         0,   1823179,         0,      0.44,      0.44,      0.00
       520,   1823128,        46,         5,   1823179,       384,      0.61,      0.56,      0.04
       521,   1823125,        49,         5,   1823179,       576,      0.49,      0.46,      0.04
       522,   1823129,        50,         0,   1823179,         0,      0.53,      0.53,      0.00
       523,   1823129,        50,         0,   1823179,         0,      0.51,      0.51,      0.00
       524,   1823126,        44,         9,   1823179,       704,      0.63,      0.53,      0.09
       525,   1823123,        49,         7,   1823179,       448,      0.63,      0.57,      0.06
       526,   1823124,        46,         9,   1823179,       768,      0.64,      0.58,      0.06
       527,   1823128,        47,         4,   1823179,       512,      0.54,      0.48,      0.05
       528,   1823129,        50,         0,   1823179,         0,      0.52,      0.52,      0.00
       529,    846450,        50,         0,   1823179,         0,      0.70,      0.70,      0.00
       530,   1823128,        47,         4,   1823179,       256,      0.61,      0.56,      0.05
       531,   1823129,        50,         0,   1823179,         0,      0.44,      0.43,      0.00
       532,   1823126,        44,         9,   1823179,      5696,      0.51,      0.42,      0.09
